"","0","0.01","0.02","0.03","0.04","0.04","0.05","0.06","0.07","0.08"
"L2",35.17,23.42,16.11,7.65,6.48,2.69,2.12,1.81,1.66,1.13
"max",15.03,13.62,12.83,7.85,7.52,5.54,4.43,4.49,3.86,3.59
"scan",33.34,26.1,17.92,9.06,6.38,3.46,2.85,2.39,1.71,1.69
"SN",48,48,48,48,48,48,48,48,48,48
