"","0","0.01","0.02","0.03","0.04","0.04","0.05","0.06","0.07","0.08"
"L2",33.33,29.19,28.25,22.39,22.12,21.52,15.74,12.08,12.61,8.15
"max",22.15,19.02,17,14.03,12.74,10.72,10.27,9,7.49,5.82
"scan",33.35,29.69,26.73,23.45,23.82,21.87,15.41,11.22,11.23,7.94
"SN",48,48,48,48,48,48,48,48,48,48
