"","5","10","15","20","25","30","35","40","45","50"
"L2",35.15,36.07,34.71,30.09,24.88,19.92,15.06,9.83,5.19,0.88
"max",16.97,18.36,20.47,21.22,19.64,15.55,12.38,8.42,5.15,2.61
"scan",36.47,34.11,35.61,31.1,25.93,20.98,16.02,10.9,6.07,1.27
"SN",48,48,48,48,48,48,48,48,48,48
