"","5","10","15","20","25","30","35","40","45","50"
"L2",30.48,31.59,29.68,30.71,27.45,23.29,17.49,12.94,11.92,10.38
"max",17.86,18.54,17.68,20.44,18.84,14.58,11.54,9.74,8.97,7.53
"scan",31.08,31.26,29.49,31.01,28.35,23.27,18.44,12.87,12.44,11.03
"SN",48,48,48,48,48,48,48,48,48,48
