"","0.05","0.15","0.25","0.35","0.45","0.55","0.65","0.75","0.85","0.95"
"L2",17.22,6.06,2.73,2.09,2.18,1.53,1.39,1.21,1.14,0.94
"max",5.97,4.22,4.08,3.86,3.42,3.79,3.95,3.49,3.46,3.38
"scan",11.01,3.83,2.83,2.33,1.87,1.72,1.66,1.69,1.54,1.52
"SN",48,48,48,48,48,48,48,48,48,48
