"","0.005","0.013","0.021","0.028","0.036","0.044","0.052","0.059","0.067","0.075"
"L2",33.27,22.37,10.53,4.21,3.35,1.83,1.54,1.23,1.14,0.98
"max",16.24,14.75,12.66,8.01,6.92,4.66,4.53,3.83,3.45,2.81
"scan",34.1,26.35,15.83,6.72,3.89,2.38,2.24,1.53,1.46,1.48
"SN",48,48,48,48,48,48,48,48,48,48
