"","0.05","0.15","0.25","0.35","0.45","0.55","0.65","0.75","0.85","0.95"
"L2",12.01,3.35,1.75,1.4,1.39,1.19,0.85,0.85,0.82,0.71
"max",6.61,3.45,3.2,2.6,2.61,3.33,2.61,2.88,2.84,2.93
"scan",10.35,3.14,2.28,1.73,1.77,1.63,1.44,1.34,1.42,1.2
"SN",48,48,48,48,48,48,48,48,48,48
