"","0.05","0.15","0.25","0.35","0.45","0.55","0.65","0.75","0.85","0.95"
"L2",26.92,24.45,21.44,16.85,13.89,11.52,11.1,10,8.05,7.55
"max",12.35,10.44,9.75,7.19,7.05,8.11,6.71,7.82,6.45,8.15
"scan",25.28,19.66,18.05,13.36,12.52,11.24,11.08,8.78,7.5,8.37
"SN",48,48,48,48,48,48,48,48,48,48
